                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.063,                0.83466,                 1.4137,                 0.8711,                0.83146,                0.89354,                0.60115,                 1.0879,                0.78021,                  1.527,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0769,                0.85287,                 1.4135,                0.86778,                0.80949,                0.88225,                0.60177,                 1.0894,                0.83092,                 1.5256,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0675,                 0.8586,                 1.4162,                0.88159,                0.81573,                0.89218,                0.60788,                 1.0873,                0.81125,                 1.5004,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0722,                0.84155,                 1.4077,                0.84551,                0.84611,                0.89825,                 0.6223,                 1.0678,                0.75726,                 1.5156,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.0703,                0.82764,                 1.3953,                 0.8343,                0.85172,                0.89217,                0.62208,                 1.0777,                0.74353,                 1.5041,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0667,                0.82662,                 1.3925,                0.84684,                0.88304,                0.90982,                0.63342,                 1.0478,                0.72711,                 1.4752,             0.00037974,             0.00037974,             0.00037974
                     41,                0.98355,                  0.764,                 1.4469,                0.85687,                0.82647,                0.89608,                0.62373,                 1.0424,                0.78453,                 1.4755,             0.00034674,             0.00034674,             0.00034674
                     42,                0.96564,                0.71216,                 1.4304,                0.87116,                0.87207,                0.90348,                0.62539,                 1.0334,                0.71829,                  1.464,             0.00031373,             0.00031373,             0.00031373
                     43,                0.96534,                0.69442,                  1.422,                 0.8426,                0.87596,                0.90299,                0.62754,                 1.0535,                 0.7391,                 1.4857,             0.00028072,             0.00028072,             0.00028072
                     44,                0.95088,                0.68377,                 1.4022,                0.86773,                0.85242,                0.91341,                0.65171,                  1.006,                0.69545,                 1.4423,             0.00024772,             0.00024772,             0.00024772
                     45,                0.93747,                0.66729,                 1.3831,                0.85632,                0.86936,                0.90786,                0.64807,                0.99388,                0.70351,                 1.4295,             0.00021471,             0.00021471,             0.00021471
                     46,                0.91926,                0.65277,                 1.3716,                0.86398,                0.86471,                0.91252,                0.64831,                 1.0168,                0.67991,                 1.4402,              0.0001817,              0.0001817,              0.0001817
                     47,                0.90025,                 0.6542,                 1.3764,                0.89449,                0.83043,                0.91126,                0.65348,                  0.997,                0.68933,                 1.4218,              0.0001487,              0.0001487,              0.0001487
                     48,                0.90101,                0.64647,                 1.3734,                0.90328,                0.84497,                0.91619,                0.65778,                 0.9815,                0.68265,                 1.4064,             0.00011569,             0.00011569,             0.00011569
                     49,                0.88597,                0.62361,                  1.368,                0.89547,                0.84477,                0.91488,                 0.6618,                0.97529,                0.66934,                 1.4068,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.89572,                 0.6321,                 1.3549,                0.89042,                0.84728,                0.91762,                0.66472,                0.97755,                0.66797,                 1.4067,             4.9677e-05,             4.9677e-05,             4.9677e-05
